fecha,titulo,autor(a),categoria,periodico,enlace
2023-05-10 11:32:00,"5 datos personales del republicano George Santos, arrestado hoy",NotiCel,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/ahora/20230510/5-datos-personales-del-republicano-george-santos-arrestado-hoy/
2023-05-10 10:58:00,DACO multa comercio en Plaza del Sol,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/ahora/20230510/daco-multa-comercio-en-plaza-del-sol/
2023-05-10 10:35:00,Arrestan al congresista republicano George Santos por fraude y lavado de dinero,EFE,Estados-Unidos,Noticel,https://www.noticel.com/estados-unidos/mundo/20230510/arrestan-al-congresista-republicano-george-santos-por-fraude-y-lavado-de-dinero/
2023-05-10 10:34:00,"Entrega $3,000 por falso secuestro de su hija",NotiCel,Policia,Noticel,https://www.noticel.com/policia/gobierno/ahora/la-calle/20230510/entrega-3000-por-falso-secuestro-de-su-hija/
2023-05-10 10:06:00,Hernández pide investigar si el equipo de Jesús Manuel tuvo información privilegiada de la elección,NotiCel,Ppd,Noticel,https://www.noticel.com/ppd/politica/ahora/20230510/hernandez-pide-investigar-si-el-equipo-de-jesus-manuel-tuvo-informacion-privilegiada-de-la-eleccion/
2023-05-10 09:47:00,Matan a tiros a un caballo en Arecibo,CyberNews,La-Calle,Noticel,https://www.noticel.com/la-calle/ahora/20230510/matan-a-tiros-a-un-caballo-en-arecibo/
2023-05-10 09:05:00,Preso por exponer sus genitales,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/20230510/preso-por-exponer-sus-genitales/
2023-05-10 08:57:00,Más tapón en la PR-30 el jueves y viernes,NotiCel,Transito,Noticel,https://www.noticel.com/transito/la-calle/20230510/mas-tapon-en-la-pr-30-el-jueves-y-viernes/
2023-05-10 08:46:00,Un hombre y una mujer son asesinados en tiroteo en Coamo,NotiCel,La-Calle,Noticel,https://www.noticel.com/la-calle/20230510/un-hombre-y-una-mujer-son-asesinados-en-tiroteo-en-coamo/
2023-05-10 08:33:00,Sergio Busquets anuncia su salida del Barcelona,EFE,Deportes,Noticel,https://www.noticel.com/deportes/20230510/sergio-busquets-anuncia-su-salida-del-barcelona/
2023-05-10 08:20:00,Liberan al representante José Rivera Madera,CyberNews,Policiacas,Noticel,https://www.noticel.com/policiacas/la-calle/20230510/liberan-al-representante-jose-rivera-madera/
2023-05-10 08:08:00,Junta Planificación fija en 3.7% crecimiento de la economía en fiscal 2022,Antonio Gómez/ Especial para NotiCel,Economia,Noticel,https://www.noticel.com/economia/20230510/junta-planificacion-fija-en-3-7-crecimiento-de-la-economia-en-fiscal-2022/
2023-05-10 07:35:00,Nuggets y Sixers a un paso de la final de conferencia,EFE,Nba,Noticel,https://www.noticel.com/nba/baloncesto/deportes/20230510/nuggets-y-sixers-a-un-paso-de-la-final-de-conferencia/
